step,loss,val_loss,lr,grad_norm,dt_ms,tok_per_sec
0,10.904855,10.902502,0.000001,0.3601,1190.77,55036.65
1,10.903076,-1.000000,0.000001,0.3698,989.84,66208.93
2,10.901670,-1.000000,0.000002,0.3901,967.64,67727.57
3,10.903862,-1.000000,0.000002,0.3710,967.85,67713.17
4,10.900221,-1.000000,0.000003,0.3665,963.19,68040.67
5,10.900039,-1.000000,0.000003,0.3766,966.47,67809.94
6,10.898312,-1.000000,0.000004,0.3712,965.55,67874.10
7,10.897503,-1.000000,0.000005,0.3671,964.10,67976.09
8,10.898699,-1.000000,0.000005,0.3609,964.16,67971.99
9,10.893730,-1.000000,0.000006,0.3690,966.29,67822.44
10,10.891202,-1.000000,0.000006,0.3665,969.66,67586.36
11,10.890716,-1.000000,0.000007,0.3429,971.16,67482.42
12,10.887632,-1.000000,0.000007,0.3713,968.25,67684.95
13,10.885715,-1.000000,0.000008,0.3798,969.23,67616.73
14,10.881371,-1.000000,0.000009,0.3841,969.67,67585.66
15,10.878232,-1.000000,0.000009,0.3652,983.31,66648.41
16,10.881065,-1.000000,0.000010,0.3677,988.31,66311.04
17,10.871250,-1.000000,0.000010,0.3803,970.51,67527.58
18,10.872837,-1.000000,0.000011,0.3903,979.73,66891.65
19,10.869338,-1.000000,0.000011,0.3848,969.23,67616.78
20,10.862825,-1.000000,0.000012,0.3865,968.94,67636.53
21,10.857675,-1.000000,0.000013,0.3968,966.88,67781.22
22,10.858387,-1.000000,0.000013,0.3897,968.53,67665.55
23,10.857233,-1.000000,0.000014,0.3797,972.02,67422.57
24,10.845186,-1.000000,0.000014,0.4033,972.46,67391.86
25,10.838223,-1.000000,0.000015,0.4315,970.09,67556.51
26,10.835370,-1.000000,0.000016,0.4107,966.61,67800.17
27,10.831924,-1.000000,0.000016,0.4350,974.63,67241.90
28,10.823042,-1.000000,0.000017,0.4433,971.16,67482.29
29,10.816938,-1.000000,0.000017,0.4365,973.08,67349.03
30,10.809381,-1.000000,0.000018,0.4719,970.14,67552.81
31,10.806572,-1.000000,0.000018,0.4443,972.33,67401.03
32,10.799732,-1.000000,0.000019,0.4646,968.18,67690.11
33,10.788090,-1.000000,0.000020,0.4799,969.17,67620.91
34,10.786205,-1.000000,0.000020,0.4922,970.51,67527.45
35,10.779301,-1.000000,0.000021,0.4978,971.59,67452.48
36,10.770365,-1.000000,0.000021,0.5046,968.86,67642.66
37,10.755592,-1.000000,0.000022,0.5285,969.37,67606.94
38,10.751674,-1.000000,0.000022,0.5496,976.16,67136.73
39,10.736981,-1.000000,0.000023,0.5741,970.73,67512.01
40,10.729220,-1.000000,0.000024,0.5873,971.29,67472.83
41,10.721710,-1.000000,0.000024,0.5989,967.96,67705.30
42,10.701941,-1.000000,0.000025,0.6358,972.04,67421.20
43,10.694164,-1.000000,0.000025,0.6497,972.96,67357.33
44,10.688900,-1.000000,0.000026,0.6444,967.91,67709.10
45,10.668251,-1.000000,0.000026,0.6870,969.97,67565.16
46,10.670774,-1.000000,0.000027,0.6837,972.75,67371.59
47,10.649540,-1.000000,0.000028,0.7043,975.74,67165.17
48,10.627627,-1.000000,0.000028,0.7488,979.96,66876.27
49,10.624949,-1.000000,0.000029,0.7498,974.99,67217.09
50,10.591270,-1.000000,0.000029,0.8095,974.08,67280.17
51,10.571838,-1.000000,0.000030,0.8520,973.68,67307.80
52,10.567404,-1.000000,0.000030,0.8186,977.98,67011.36
53,10.546745,-1.000000,0.000031,0.8700,975.74,67165.12
54,10.522328,-1.000000,0.000032,0.8909,969.41,67604.21
55,10.509654,-1.000000,0.000032,0.8995,975.69,67168.75
56,10.486935,-1.000000,0.000033,0.9295,974.39,67258.44
57,10.462093,-1.000000,0.000033,0.9725,973.48,67321.68
58,10.433962,-1.000000,0.000034,1.0037,975.21,67201.91
59,10.434080,-1.000000,0.000034,0.9854,971.42,67464.27
60,10.384886,-1.000000,0.000035,1.0034,971.80,67437.95
61,10.354750,-1.000000,0.000036,1.0033,973.19,67341.73
62,10.343065,-1.000000,0.000036,1.0031,974.68,67238.78
63,10.328215,-1.000000,0.000037,1.0030,973.54,67317.55
64,10.276351,-1.000000,0.000037,1.0029,972.43,67394.29
65,10.262121,-1.000000,0.000038,1.0027,975.74,67165.73
66,10.223648,-1.000000,0.000039,1.0026,971.76,67440.60
67,10.176317,-1.000000,0.000039,1.0025,974.50,67250.66
68,10.169840,-1.000000,0.000040,1.0024,974.89,67224.13
69,10.130130,-1.000000,0.000040,1.0023,975.87,67156.59
70,10.121824,-1.000000,0.000041,1.0022,970.95,67497.02
71,10.061195,-1.000000,0.000041,1.0021,978.96,66944.49
72,10.028849,-1.000000,0.000042,1.0021,974.81,67229.57
73,10.007090,-1.000000,0.000043,1.0020,976.83,67090.49
74,9.985331,-1.000000,0.000043,1.0020,976.48,67114.48
75,9.940770,-1.000000,0.000044,1.0019,973.63,67311.06
76,9.891904,-1.000000,0.000044,1.0019,978.07,67005.57
77,9.884440,-1.000000,0.000045,1.0019,975.22,67201.10
78,9.855526,-1.000000,0.000045,1.0018,974.36,67260.35
79,9.830774,-1.000000,0.000046,1.0019,979.69,66894.77
80,9.798484,-1.000000,0.000047,1.0018,978.45,66979.08
81,9.745903,-1.000000,0.000047,1.0017,983.32,66647.47
82,9.728296,-1.000000,0.000048,1.0018,978.57,66971.28
83,9.692749,-1.000000,0.000048,1.0018,981.24,66789.25
84,9.676286,-1.000000,0.000049,1.0018,983.51,66634.84
85,9.629792,-1.000000,0.000049,1.0018,979.37,66916.45
86,9.653488,-1.000000,0.000050,1.0019,994.66,65887.91
87,9.553719,-1.000000,0.000051,1.0019,991.28,66112.73
88,9.555263,-1.000000,0.000051,1.0020,991.07,66126.67
89,9.560207,-1.000000,0.000052,1.0020,997.13,65724.32
90,9.482658,-1.000000,0.000052,1.0020,992.54,66028.39
91,9.473052,-1.000000,0.000053,1.0020,975.44,67185.89
92,9.449978,-1.000000,0.000053,1.0020,974.80,67230.03
93,9.404799,-1.000000,0.000054,1.0021,976.17,67136.02
94,9.361490,-1.000000,0.000055,1.0021,979.67,66896.17
95,9.367541,-1.000000,0.000055,1.0022,976.00,67147.49
96,9.340301,-1.000000,0.000056,1.0022,978.28,66991.25
97,9.290348,-1.000000,0.000056,1.0023,1007.67,65037.20
98,9.286880,-1.000000,0.000057,1.0024,1016.75,64456.46
99,9.270130,-1.000000,0.000057,1.0024,1013.09,64689.38
100,9.259575,9.242353,0.000058,1.0023,996.57,65761.57
101,9.225962,-1.000000,0.000059,1.0023,1004.62,65234.30
102,9.237962,-1.000000,0.000059,1.0024,1015.25,64551.33
103,9.217661,-1.000000,0.000060,1.0025,984.76,66550.35
104,9.117832,-1.000000,0.000060,1.0026,986.18,66454.68
105,9.114841,-1.000000,0.000061,1.0026,979.50,66907.88
106,9.074076,-1.000000,0.000061,1.0029,979.24,66925.57
107,9.072486,-1.000000,0.000062,1.0028,974.79,67231.10
108,9.074078,-1.000000,0.000063,1.0028,977.38,67052.65
109,9.034090,-1.000000,0.000063,1.0029,982.65,66693.11
110,9.058906,-1.000000,0.000064,1.0031,982.78,66684.47
111,9.002180,-1.000000,0.000064,1.0030,985.31,66512.96
112,8.970125,-1.000000,0.000065,1.0031,1002.81,65352.24
113,8.880389,-1.000000,0.000066,1.0031,993.21,65983.82
114,8.828984,-1.000000,0.000066,1.0031,977.66,67033.44
115,8.858847,-1.000000,0.000067,1.0033,977.50,67044.49
116,8.838833,-1.000000,0.000067,1.0033,978.71,66961.68
117,8.851095,-1.000000,0.000068,1.0034,976.74,67096.87
118,8.707366,-1.000000,0.000068,1.0035,980.08,66868.16
119,8.702971,-1.000000,0.000069,1.0035,977.76,67026.60
120,8.748201,-1.000000,0.000070,1.0035,978.24,66993.59
121,8.732897,-1.000000,0.000070,1.0035,980.88,66813.39
122,8.681026,-1.000000,0.000071,1.0035,973.86,67294.88
123,8.686112,-1.000000,0.000071,1.0039,978.96,66944.27
124,8.653211,-1.000000,0.000072,1.0036,980.56,66834.96
125,8.616376,-1.000000,0.000072,1.0027,976.29,67127.43
126,8.643204,-1.000000,0.000073,1.0039,977.04,67075.90
127,8.569106,-1.000000,0.000074,1.0039,978.29,66990.63
128,8.566006,-1.000000,0.000074,1.0041,975.73,67165.93
129,8.550498,-1.000000,0.000075,1.0040,976.95,67082.17
130,8.559467,-1.000000,0.000075,1.0038,979.24,66925.20
131,8.561357,-1.000000,0.000076,1.0042,981.05,66802.09
132,8.538687,-1.000000,0.000076,1.0041,974.31,67263.77
133,8.532940,-1.000000,0.000077,1.0036,978.89,66948.99
134,8.436728,-1.000000,0.000078,1.0040,976.19,67134.20
135,8.438901,-1.000000,0.000078,1.0036,973.55,67316.55
136,8.418127,-1.000000,0.000079,1.0043,980.53,66837.52
137,8.436300,-1.000000,0.000079,1.0042,974.59,67244.88
138,8.338573,-1.000000,0.000080,1.0044,972.82,67366.70
139,8.338034,-1.000000,0.000080,1.0044,974.26,67267.31
140,8.324574,-1.000000,0.000081,1.0043,977.07,67074.16
141,8.299553,-1.000000,0.000082,1.0046,976.40,67119.76
142,8.268266,-1.000000,0.000082,1.0046,978.23,66994.16
143,8.252770,-1.000000,0.000083,1.0046,976.69,67100.30
144,8.293068,-1.000000,0.000083,1.0045,976.71,67098.82
145,8.203205,-1.000000,0.000084,1.0045,976.32,67125.81
146,8.302209,-1.000000,0.000084,1.0038,974.73,67235.23
147,8.209102,-1.000000,0.000085,1.0046,976.18,67135.43
148,8.160239,-1.000000,0.000086,1.0044,974.29,67265.30
149,8.240116,-1.000000,0.000086,1.0048,974.56,67247.10
150,8.508589,-1.000000,0.000087,1.0035,973.82,67297.58
151,8.549379,-1.000000,0.000087,1.0031,972.50,67389.02
152,8.162433,-1.000000,0.000088,1.0047,978.53,66974.26
153,8.062534,-1.000000,0.000089,1.0051,979.68,66895.08
154,8.095357,-1.000000,0.000089,1.0048,972.79,67369.28
155,9.169032,-1.000000,0.000090,1.0005,973.65,67309.64
156,8.599681,-1.000000,0.000090,1.0017,977.11,67071.09
157,7.998332,-1.000000,0.000091,1.0052,990.55,66161.05
158,8.001421,-1.000000,0.000091,1.0051,990.24,66181.67
159,7.966138,-1.000000,0.000092,1.0053,976.54,67110.62
160,7.981388,-1.000000,0.000093,1.0052,977.85,67020.34
161,7.998034,-1.000000,0.000093,1.0054,988.13,66323.46
162,7.974831,-1.000000,0.000094,1.0053,977.84,67021.44
163,7.971030,-1.000000,0.000094,0.9777,990.07,66193.01
164,7.919417,-1.000000,0.000095,1.0047,988.72,66283.67
165,7.947869,-1.000000,0.000095,0.9899,975.45,67185.63
166,7.884296,-1.000000,0.000096,0.9606,977.08,67073.26
167,7.914680,-1.000000,0.000097,0.9086,979.13,66932.92
168,7.862518,-1.000000,0.000097,0.9665,980.99,66806.20
169,7.983506,-1.000000,0.000098,0.8305,981.47,66773.42
170,7.816657,-1.000000,0.000098,0.8538,984.54,66564.98
171,7.885334,-1.000000,0.000099,0.8966,998.80,65615.06
172,7.778442,-1.000000,0.000099,0.8396,1013.86,64640.03
173,7.837262,-1.000000,0.000100,0.7964,993.32,65977.01
174,7.807746,-1.000000,0.000100,0.7415,979.10,66935.12
175,7.906172,-1.000000,0.000100,0.8258,1025.45,63909.28
176,7.818083,-1.000000,0.000100,0.6880,982.51,66702.51
177,7.796929,-1.000000,0.000100,0.6542,984.54,66565.19
178,7.787247,-1.000000,0.000100,0.6624,993.81,65944.34
179,7.713261,-1.000000,0.000100,0.6656,996.43,65770.79
180,7.584956,-1.000000,0.000100,0.8293,981.71,66757.30
181,7.958282,-1.000000,0.000100,0.5407,976.18,67134.89
182,7.743437,-1.000000,0.000100,0.5490,978.23,66994.62
183,7.705734,-1.000000,0.000100,0.6685,980.32,66851.93
184,7.744322,-1.000000,0.000100,0.5651,973.93,67290.08
185,7.724208,-1.000000,0.000100,0.4886,979.71,66893.42
186,7.648301,-1.000000,0.000100,0.4996,977.38,67052.88
187,7.776326,-1.000000,0.000100,0.4458,978.37,66984.71
188,7.849913,-1.000000,0.000100,0.4525,977.75,67027.26
189,7.995181,-1.000000,0.000100,0.8308,979.90,66880.32
190,7.735126,-1.000000,0.000100,0.3963,974.93,67221.27
191,7.680444,-1.000000,0.000100,0.3812,978.71,66961.70
192,7.612124,-1.000000,0.000100,0.3933,983.33,66647.33
193,7.625400,-1.000000,0.000100,0.3774,983.20,66655.52
194,7.621006,-1.000000,0.000100,0.3555,977.95,67013.84
195,7.680045,-1.000000,0.000100,0.3557,980.76,66821.51
196,7.677857,-1.000000,0.000100,0.4820,975.68,67169.52
197,7.688228,-1.000000,0.000100,0.3487,972.57,67384.29
198,7.651471,-1.000000,0.000100,0.2770,974.24,67268.89
199,7.658154,-1.000000,0.000100,0.2450,979.20,66927.85
200,7.651780,7.635977,0.000100,0.2667,975.01,67215.68
201,7.635026,-1.000000,0.000100,0.2868,975.78,67162.48
202,7.512195,-1.000000,0.000100,0.2995,975.92,67153.21
203,7.609874,-1.000000,0.000100,0.2237,979.13,66932.68
204,7.598617,-1.000000,0.000100,0.2405,978.03,67008.19
205,7.644084,-1.000000,0.000100,0.2619,978.33,66987.65
206,7.678016,-1.000000,0.000100,0.2646,978.61,66968.68
207,7.591397,-1.000000,0.000100,0.2291,978.52,66974.88
208,7.793647,-1.000000,0.000100,0.2751,976.93,67083.76
209,7.598359,-1.000000,0.000100,0.2049,984.38,66575.82
210,7.736858,-1.000000,0.000100,0.2556,983.18,66657.15
211,7.633236,-1.000000,0.000100,0.1951,979.97,66875.71
212,7.662509,-1.000000,0.000100,0.2727,985.78,66481.35
213,7.622404,-1.000000,0.000100,0.1921,982.16,66726.64
214,7.659379,-1.000000,0.000100,0.1903,982.37,66712.32
215,7.597273,-1.000000,0.000100,0.1806,983.09,66663.56
216,7.680892,-1.000000,0.000100,0.2245,989.72,66216.45
217,7.551773,-1.000000,0.000100,0.3450,987.41,66371.73
218,7.507253,-1.000000,0.000100,0.3182,993.08,65992.42
219,7.627440,-1.000000,0.000100,0.1764,984.60,66561.33
220,7.669721,-1.000000,0.000100,0.1950,982.54,66700.81
221,7.603720,-1.000000,0.000100,0.1942,983.16,66658.50
222,7.553869,-1.000000,0.000100,0.1811,981.74,66754.93
223,7.701407,-1.000000,0.000100,0.2038,979.28,66922.56
224,7.613743,-1.000000,0.000100,0.1830,977.53,67042.77
225,7.693642,-1.000000,0.000100,0.2925,981.53,66769.54
226,7.539132,-1.000000,0.000100,0.1989,979.55,66904.13
227,7.675089,-1.000000,0.000100,0.2065,981.75,66754.33
228,7.620830,-1.000000,0.000100,0.1692,979.96,66876.04
229,7.631409,-1.000000,0.000100,0.2258,976.23,67131.60
230,7.569172,-1.000000,0.000100,0.2979,978.71,66961.76
231,7.605901,-1.000000,0.000100,0.1987,975.45,67185.40
232,7.594116,-1.000000,0.000100,0.1784,982.28,66718.15
233,7.524363,-1.000000,0.000100,0.1650,980.29,66853.66
234,7.553102,-1.000000,0.000100,0.2449,982.50,66703.61
235,7.601610,-1.000000,0.000100,0.1905,980.90,66812.32
236,7.658689,-1.000000,0.000100,0.2008,979.26,66923.91
237,7.541732,-1.000000,0.000100,0.2979,983.17,66657.62
238,7.507146,-1.000000,0.000100,0.3387,975.91,67154.07
239,7.642313,-1.000000,0.000100,0.2075,975.39,67189.52
240,7.637332,-1.000000,0.000100,0.2108,985.17,66522.21
241,7.819267,-1.000000,0.000100,0.2669,980.75,66822.26
242,7.717177,-1.000000,0.000100,0.2437,979.29,66922.05
